Date,eurusd,jpyusd,gbpusd,nq,sp500,nikkei,ftse,gdp_us,gdp_uk,gdp_jp,gdp_ez,unrate_us,unrate_uk,unrate_jp,unrate_ez,m0_us,m0_jp,m0_ez,ir_us,ir_uk,ir_deposit_ez,ir_lending_ez,ir_MRO_ez,ir_jp
2004-01-01,1.2581939697265625,0.0093196639791131,1.785204291343689,1468.0,1111.9200439453125,10676.6396484375,4476.89990234375,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
2004-01-02,1.2581939697265625,0.0093536619096994,1.7936897277832031,1466.5,1108.47998046875,10676.6396484375,4510.2001953125,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
2004-01-05,1.2686975002288818,0.009412650950253,1.807207107543945,1495.5,1122.219970703125,10825.169921875,4513.2998046875,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
2004-01-06,1.2721028327941897,0.0094135366380214,1.8212946653366089,1504.5,1123.6700439453125,10813.990234375,4505.2001953125,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
2004-01-07,1.2640947103500366,0.0094179697334766,1.8177852630615237,1517.0,1126.3299560546875,10757.8203125,4473.0,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
2004-01-08,1.2774981260299685,0.0094188563525676,1.8338866233825684,1531.0,1131.9200439453125,10837.650390625,4494.2001953125,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
2004-01-09,1.2858924865722656,0.0093826232478022,1.848087191581726,1521.5,1121.8599853515625,10965.0498046875,4466.2998046875,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
2004-01-12,1.2740962505340576,0.0093808630481362,1.845597267150879,1544.5,1127.22998046875,10965.0498046875,4449.60009765625,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
2004-01-13,1.278592586517334,0.009412650950253,1.8488048315048216,1528.5,1121.219970703125,10849.6796875,4440.10009765625,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
2004-01-14,1.2651021480560305,0.009412650950253,1.831703186035156,1537.5,1130.52001953125,10863.0,4461.39990234375,11923.447,322790.0,529365.1,2006218.2,5.7,4.8,5.1,9.4,736400.0,1060327,548711.0,1.0,"3,75",1.0,3.0,2.0,0.1
