"DATE","TIME PERIOD","MONEY STOCK M2, M-AV SA (RTD.M.JP.Y.M_M2.J)"
"2003-04-30","2003Apr","672655.8"
"2003-05-31","2003May","674617.0"
"2003-06-30","2003Jun","676599.5"
"2003-07-31","2003Jul","677501.1"
"2003-08-31","2003Aug","680230.5"
"2003-09-30","2003Sep","678956.2"
"2003-10-31","2003Oct","679564.3"
"2003-11-30","2003Nov","680042.2"
"2003-12-31","2003Dec","680287.5"
"2004-01-31","2004Jan","681751.0"
"2004-02-29","2004Feb","683372.0"
"2004-03-31","2004Mar","684395.3"
"2004-04-30","2004Apr","685281.0"
"2004-05-31","2004May","688090.3"
"2004-06-30","2004Jun","688492.1"
"2004-07-31","2004Jul","690146.7"
"2004-08-31","2004Aug","692897.1"
"2004-09-30","2004Sep","692121.8"
"2004-10-31","2004Oct","692886.2"
"2004-11-30","2004Nov","693380.7"
"2004-12-31","2004Dec","694131.3"
"2005-01-31","2005Jan","695104.6"
"2005-02-28","2005Feb","695735.9"
"2005-03-31","2005Mar","698262.9"
"2005-04-30","2005Apr","697480.7"
"2005-05-31","2005May","698358.6"
"2005-06-30","2005Jun","699609.4"
"2005-07-31","2005Jul","701725.7"
"2005-08-31","2005Aug","704061.5"
"2005-09-30","2005Sep","705682.1"
"2005-10-31","2005Oct","706166.1"
"2005-11-30","2005Nov","707193.4"
"2005-12-31","2005Dec","707269.4"
"2006-01-31","2006Jan","707248.2"
"2006-02-28","2006Feb","707435.7"
"2006-03-31","2006Mar","707748.3"
"2006-04-30","2006Apr","708568.1"
"2006-05-31","2006May","707657.6"
"2006-06-30","2006Jun","707097.7"
"2006-07-31","2006Jul","705546.3"
"2006-08-31","2006Aug","707176.2"
"2006-09-30","2006Sep","709316.4"
"2006-10-31","2006Oct","710058.4"
"2006-11-30","2006Nov","711339.1"
"2006-12-31","2006Dec","712341.0"
"2007-01-31","2007Jan","713578.0"
"2007-02-28","2007Feb","714293.1"
"2007-03-31","2007Mar","715379.3"
"2007-04-30","2007Apr","716714.0"
"2007-05-31","2007May","717991.4"
"2007-06-30","2007Jun","719442.7"
"2007-07-31","2007Jul","720104.8"
"2007-08-31","2007Aug","719585.8"
"2007-09-30","2007Sep","721575.0"
"2007-10-31","2007Oct","723465.6"
"2007-11-30","2007Nov","725686.3"
"2007-12-31","2007Dec","727503.6"
"2008-01-31","2008Jan","729015.4"
"2008-02-29","2008Feb","730917.9"
"2008-03-31","2008Mar","731594.3"
"2008-04-30","2008Apr","730213.0"
"2008-05-31","2008May","732675.0"
"2008-06-30","2008Jun","734960.0"
"2008-07-31","2008Jul","735455.0"
"2008-08-31","2008Aug","736725.0"
"2008-09-30","2008Sep","737261.6"
"2008-10-31","2008Oct","736400.7"
"2008-11-30","2008Nov","738792.9"
"2008-12-31","2008Dec","741156.1"
"2009-01-31","2009Jan","743676.2"
"2009-02-28","2009Feb","746642.2"
"2009-03-31","2009Mar","748268.9"
"2009-04-30","2009Apr","749690.1"
"2009-05-31","2009May","752021.1"
"2009-06-30","2009Jun","753134.7"
"2009-07-31","2009Jul","755394.8"
"2009-08-31","2009Aug","757299.9"
"2009-09-30","2009Sep","759118.3"
"2009-10-31","2009Oct","761021.0"
"2009-11-30","2009Nov","762997.6"
"2009-12-31","2009Dec","764218.5"
"2010-01-31","2010Jan","766264.3"
"2010-02-28","2010Feb","767507.2"
"2010-03-31","2010Mar","768551.8"
"2010-04-30","2010Apr","771068.4"
"2010-05-31","2010May","775184.0"
"2010-06-30","2010Jun","774772.9"
"2010-07-31","2010Jul","775915.1"
"2010-08-31","2010Aug","778406.0"
"2010-09-30","2010Sep","780138.3"
"2010-10-31","2010Oct","781838.8"
"2010-11-30","2010Nov","782405.4"
"2010-12-31","2010Dec","782140.7"
"2011-01-31","2011Jan","784213.1"
"2011-02-28","2011Feb","786272.1"
"2011-03-31","2011Mar","788510.5"
"2011-04-30","2011Apr","791862.4"
"2011-05-31","2011May","796005.4"
"2011-06-30","2011Jun","796627.8"
"2011-07-31","2011Jul","798691.1"
"2011-08-31","2011Aug","799512.6"
"2011-09-30","2011Sep","801512.8"
"2011-10-31","2011Oct","803722.1"
"2011-11-30","2011Nov","805659.7"
