Series code,MD01'MABS1AA12X12

Name of time-series,"Monetary Base(Reserve Requirement Rate Change Adjusted)/Seasonally Adjusted (X-12-ARIMA)/Average Amounts Outstanding"
2000/01,701388
2000/02,631257
2000/03,642084
2000/04,650933
2000/05,635959
2000/06,631976
2000/07,634857
2000/08,633304
2000/09,632725
2000/10,643719
2000/11,648271
2000/12,653239
2001/01,663647
2001/02,653229
2001/03,649195
2001/04,657286
2001/05,667080
2001/06,678379
2001/07,686745
2001/08,690074
2001/09,721404
2001/10,736184
2001/11,747554
2001/12,768113
2002/01,820883
2002/02,833494
2002/03,859705
2002/04,894218
2002/05,864380
2002/06,863646
2002/07,862224
2002/08,869485
2002/09,873381
2002/10,879719
2002/11,908789
2002/12,922648
2003/01,932290
2003/02,938185
2003/03,954069
2003/04,998804
2003/05,1009367
2003/06,1038017
2003/07,1040249
2003/08,1047032
2003/09,1051869
2003/10,1056415
2003/11,1057092
2003/12,1049511
2004/01,1060327
2004/02,1088623
2004/03,1069011
2004/04,1069169
2004/05,1084077
2004/06,1085103
2004/07,1089656
2004/08,1094463
2004/09,1098420
2004/10,1095469
2004/11,1106357
2004/12,1095568
2005/01,1101731
2005/02,1100783
2005/03,1094601
2005/04,1104372
2005/05,1109622
2005/06,1104871
2005/07,1104321
2005/08,1105483
2005/09,1115785
2005/10,1122185
2005/11,1123677
2005/12,1106086
2006/01,1119154
2006/02,1120633
2006/03,1086161
2006/04,1026921
2006/05,940553
2006/06,924416
2006/07,907107
2006/08,880574
2006/09,878863
2006/10,881402
2006/11,875657
2006/12,884888
2007/01,883775
2007/02,883637
2007/03,879798
2007/04,900054
2007/05,886098
2007/06,883709
2007/07,886661
2007/08,886414
2007/09,885683
2007/10,885839
2007/11,886489
2007/12,888687
2008/01,884116
2008/02,884619
2008/03,880000
2008/04,873894
2008/05,876113
2008/06,884818
2008/07,880314
2008/08,884382
2008/09,894410
2008/10,898746
2008/11,903835
2008/12,906885
2009/01,919657
2009/02,944261
2009/03,943204
2009/04,943503
2009/05,941811
2009/06,939461
2009/07,932828
2009/08,937550
2009/09,935132
2009/10,937014
2009/11,936268
2009/12,956034
2010/01,966892
2010/02,969594
2010/03,967971
2010/04,970074
2010/05,974593
2010/06,970925
2010/07,985528
2010/08,987458
2010/09,987412
2010/10,993103
2010/11,1004346
2010/12,1026043
2011/01,1024725
2011/02,1030180
2011/03,1139392
2011/04,1202190
2011/05,1132322
2011/06,1131018
2011/07,1126308
2011/08,1143407
2011/09,1148692
2011/10,1155536
2011/11,1196344
2011/12,1168565
2012/01,1184839
2012/02,1152463
2012/03,1143266
2012/04,1199438
2012/05,1161517
2012/06,1192370
2012/07,1214867
2012/08,1217678
2012/09,1249762
2012/10,1274897
2012/11,1253240
2012/12,1312257
2013/01,1319857
2013/02,1328448
2013/03,1375122
2013/04,1476772
2013/05,1531984
2013/06,1616614
2013/07,1669680
2013/08,1726950
2013/09,1823666
2013/10,1857792
2013/11,1908344
2013/12,1931770
2014/01,2009002
2014/02,2066562
2014/03,2129975
2014/04,2189191
2014/05,2234183
2014/06,2302254
2014/07,2379851
2014/08,2425134
2014/09,2467265
2014/10,2548137
2014/11,2607777
2014/12,2677922
2015/01,2757364
2015/02,2818260
2015/03,2878779
2015/04,2956958
2015/05,3030948
2015/06,3093916
2015/07,3165069
2015/08,3232246
2015/09,3329586
2015/10,3382999
2015/11,3454418
2015/12,3475858
2016/01,3551769
2016/02,3626056
2016/03,3693237
2016/04,3749521
2016/05,3802515
2016/06,3889468
2016/07,3955898
2016/08,4011436
2016/09,4079748
2016/10,4132728
2016/11,4192873
2016/12,4280814
2017/01,4350190
2017/02,4394462
2017/03,4441972
2017/04,4502341
2017/05,4537812
2017/06,4564490
2017/07,4583608
2017/08,4657558
2017/09,4703156
2017/10,4720594
2017/11,4735141
2017/12,4761368
2018/01,4777830
2018/02,4805617
2018/03,4849171
2018/04,4872032
2018/05,4908273
2018/06,4909349
2018/07,4913322
2018/08,4964701
2018/09,4967026
2018/10,4982160
2018/11,5014091
2018/12,4993657
2019/01,5014050
2019/02,5024877
2019/03,5041850
2019/04,5037440
2019/05,5086025
2019/06,5107804
2019/07,5096565
2019/08,5094821
2019/09,5104869
2019/10,5125440
2019/11,5176684
2019/12,5158506
2020/01,5171211
2020/02,5204682
2020/03,5183692
2020/04,5154171
2020/05,5283044
2020/06,5411475
2020/07,5592485
2020/08,5670091
2020/09,5830658
2020/10,5968277
2020/11,6042069
2020/12,6123402
2021/01,6160960
2021/02,6221873
2021/03,6246012
2021/04,6389754
2021/05,6445552
2021/06,6433871
2021/07,6457927
2021/08,6508771
2021/09,6520896
2021/10,6584714
2021/11,6627061
2021/12,6665488
2022/01,6681128
2022/02,6681220
2022/03,6717140
2022/04,6786826
2022/05,6720332
2022/06,6671343
2022/07,6643991
2022/08,6534494
2022/09,6318601
2022/10,6162936
2022/11,6223740
2022/12,6293987
2023/01,6428326
2023/02,6549957
2023/03,6620792
2023/04,6645461
2023/05,6626945
2023/06,6601879
2023/07,6571645
2023/08,6618838
2023/09,6688240
2023/10,6738788
2023/11,6786716
2023/12,6802590
2024/01,6730163
2024/02,6687313
2024/03,6709522
2024/04,6767136
2024/05,
2024/06,
2024/07,
2024/08,
2024/09,
2024/10,
2024/11,
2024/12,
